age,covid_trouble_bills,education,enthusiasm,factory_farming_ban,gender,gss_bible,gss_spanking,gss_trust,id,income,loc_county,lv_likely,race,rigged_who_actually_won,social_fb,survey_method,vote2016,vote2020,vote_method,vote_ossoff_perdue,vote_warnock_loeffler,birth_control,covid_know_dead,covid_positive,covid_reduced_work,loc_east_west,loc_north_south,lv_thought,rigged_trump_concede,rigged_vote_counts,slaughterhouse_ban,urban_rural,vegetarian_imperative,weight,lv_index,lv_weight
18-34,No,Completed graduate school,More enthusiastic,Don't know,Female,Inspired word,Disagree,Can trust,prolific_5cc977b5189138777ea2cccba39516a201547fa99662bce8cacda4e9,"Between $100,000 and $150,000",Another county in Georgia,,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,No,Closer to South Carolina,Closer to Tennessee,Quite a lot,Yes,Definitely Yes,Don't know,Suburban,Don't know,0.687174324869573,0.23,0.21254232718913182
18-34,No,Graduated from high school,Less enthusiastic,Don't know,Female,Inspired word,Disagree,Can't be too careful,prolific_1d9ee7869598a1c85c1327746c32c43fdcd5af0a431782b4a9af1414,"Between $50,000 and $74,999","Cobb County, GA",,"Black, non-Hispanic",Joe Biden,Yes,Online,Did not vote,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,Yes,Closer to Alabama,Closer to Tennessee,Only a little,Yes,Probably No,Disagree,Suburban,Disagree,5.5403644552059506,0.23,1.7136291508110737
35-54,No,Graduated from high school,About the same,Don't know,Female,Word of God,Agree,Can't be too careful,prolific_a48210a95e06b04889452253d9bd4aac1cdfdb9123e46251262e877d,"Between $15,000 and $49,999",Another county in Georgia,Very likely,"White, not Hispanic",Don't know / Not sure,Yes,Online,Donald Trump,Donald Trump,Absentee by mail,David Perdue,Undecided,Disagree,No,No,No,Closer to South Carolina,Closer to Tennessee,Some,Yes,Don’t know / not sure,Don't know,Rural,Disagree,3.3513858028669947,0.83,3.7407026643221157
18-34,No,Graduated from high school,About the same,Don't know,Female,Word of God,Agree,Can't be too careful,prolific_35913b84f2d575be5ca293caf35fb6c5df469c7da0e4697aafaba216,"Under $15,000",Another county in Georgia,,"Black, non-Hispanic",Joe Biden,No,Online,Did not vote,Did not vote,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Agree,Urban,Disagree,2.5251455972972714,0.11,0.3735336919354179
18-34,Yes,Graduated from college,More enthusiastic,Don't know,Female,Book of fables,Disagree,Can trust,prolific_52ba34dd3df5e48b5162950002bbceda827bf16da2bde2e991b148b1,"Between $15,000 and $49,999","DeKalb County, GA",,"White, not Hispanic",Joe Biden,Yes,Online,Did not vote,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,Yes,Closer to South Carolina,Closer to Tennessee,Quite a lot,Yes,Definitely Yes,Don't know,Suburban,Disagree,0.5263645944968407,0.23,0.16280403940522117
35-54,No,Graduated from high school,More enthusiastic,Don't know,Male,Book of fables,Disagree,Can trust,prolific_6e35ad9e13188a3ec2c8e3f2bcd5d701e84e747a150d58a8e899074e,"Between $75,000 and $99,999","Fulton County, GA",,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,Yes,No,No,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Definitely Yes,Disagree,Urban,Disagree,3.2949085870519905,0.23,1.0191119103589965
35-54,Yes,"Some college, no degree",More enthusiastic,Don't know,Female,Book of fables,Agree,Can trust,prolific_587e9748e23229efb58200e97846bb2d7722b03dda9246c54eab2178,"Between $15,000 and $49,999","Cobb County, GA",Very likely,"White, not Hispanic",Joe Biden,Yes,Online,Donald Trump,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to Alabama,Closer to Tennessee,Quite a lot,Yes,Probably Yes,Don't know,Suburban,Disagree,0.3571818312844595,0.83,0.3986741922670417
18-34,No,"Some college, no degree",About the same,Agree,Female,Word of God,Disagree,Can't be too careful,prolific_b844446413da9df975bf31edc57023325b9e8c304450e0f2d18a8207,"Under $15,000",Another county in Georgia,,"Black, non-Hispanic",Joe Biden,No,Online,Hillary Clinton,Joe Biden,Absentee by mail,Jon Ossoff,Raphael Warnock,Disagree,No,No,No,Closer to South Carolina,Closer to Tennessee,Some,Yes,Definitely Yes,Agree,Suburban,Don't know,0.8210763441818295,0.23,0.253958087018856
55-64,Yes,"Some college, no degree",More enthusiastic,Disagree,Female,I don't know,Agree,Can't be too careful,prolific_85df5813f56ef800100cc2dff638174daba2c235b527354b202452b6,"Between $15,000 and $49,999",Another county in Georgia,,"White, not Hispanic",Joe Biden,Yes,Online,Hillary Clinton,Joe Biden,Early vote in person,Jon Ossoff,Raphael Warnock,Disagree,No,No,Yes,Closer to Alabama,Closer to Florida,Quite a lot,Yes,Definitely Yes,Disagree,Suburban,Disagree,0.18680513046794284,0.23,0.05777863887458523
18-34,Unsure,"Some college, no degree",About the same,Don't know,Female,Word of God,Agree,Can't be too careful,prolific_13c15aab5f79e57709b3e734f31a9f43a6ed06543136e42258c3ceb2,"Under $15,000",Another county in Georgia,Very likely,"Black, non-Hispanic",Joe Biden,Yes,Online,Did not vote,Did not vote,I will vote on election day,Undecided,Raphael Warnock,Disagree,No,Yes,Unsure,Closer to Alabama,Closer to Florida,Some,Yes,Definitely Yes,Don't know,Urban,Disagree,0.8263126190716056,0.59,0.6556122622961624
